2026-08-30T19:01:52.628977936Z 1788116512.628      0 172.18.0.2 NONE_NONE/000 0 - error:transaction-end-before-headers - HIER_NONE/- -
2026-08-30T19:01:53.023545977Z 1788116513.023     79 172.18.0.2 TCP_TUNNEL/200 47796 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-30T19:01:53.075051561Z 1788116513.074     47 172.18.0.2 TCP_TUNNEL/200 44603 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-30T19:01:53.127874644Z 1788116513.127     49 172.18.0.2 TCP_TUNNEL/200 43371 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-30T19:01:53.188226311Z 1788116513.187     57 172.18.0.2 TCP_TUNNEL/200 16810 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-30T19:01:53.232186978Z 1788116513.231    288 172.18.0.2 TCP_TUNNEL/200 6929 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-30T19:01:53.232205728Z 1788116513.232    387 172.18.0.2 TCP_TUNNEL/200 4423 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-30T19:01:53.281064853Z 1788116513.280    337 172.18.0.2 TCP_TUNNEL/200 3908 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-30T19:01:53.281086353Z 1788116513.280    337 172.18.0.2 TCP_TUNNEL/200 4387 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-30T19:01:53.331459978Z 1788116513.331    387 172.18.0.2 TCP_TUNNEL/200 3988 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-30T19:06:53.841926871Z 1788116813.841 300090 172.18.0.2 TCP_TUNNEL/200 7884 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-30T19:06:53.842725996Z 1788116813.842 300601 172.18.0.2 TCP_TUNNEL/200 70274 CONNECT mcp-proxy.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-30T19:06:53.843751996Z 1788116813.843 300603 172.18.0.2 TCP_TUNNEL/200 29518 CONNECT mcp-proxy.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-30T19:06:53.844702413Z 1788116813.844 300604 172.18.0.2 TCP_TUNNEL/200 105767 CONNECT mcp-proxy.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-30T19:15:20.714369821Z 1788117320.714    180 172.18.0.2 TCP_TUNNEL/200 3561 CONNECT services.gradle.org:443 - HIER_DIRECT/104.16.72.101 -
2026-08-30T19:15:20.815151654Z 1788117320.815    100 172.18.0.2 TCP_TUNNEL/200 8475 CONNECT github.com:443 - HIER_DIRECT/140.82.121.3 -
2026-08-30T19:15:39.387894205Z 1788117339.387   2517 172.18.0.2 TCP_TUNNEL/200 4362 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:15:39.388620372Z 1788117339.388   3628 172.18.0.2 TCP_TUNNEL/200 5966 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
2026-08-30T19:15:39.388634122Z 1788117339.388   3843 172.18.0.2 TCP_TUNNEL/200 4294 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:15:39.388677247Z 1788117339.388   1019 172.18.0.2 TCP_TUNNEL/200 4360 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:15:39.388682038Z 1788117339.388   1334 172.18.0.2 TCP_TUNNEL/200 4418 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
2026-08-30T19:15:39.388793580Z 1788117339.388   1392 172.18.0.2 TCP_TUNNEL/200 8308 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:15:39.389082913Z 1788117339.388   4164 172.18.0.2 TCP_TUNNEL/200 4369 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:15:39.389259538Z 1788117339.389   4731 172.18.0.2 TCP_TUNNEL/200 7164 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.733536508Z 1788117362.733  18216 172.18.0.2 TCP_TUNNEL/200 9610298 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
2026-08-30T19:16:02.733598216Z 1788117362.733  18221 172.18.0.2 TCP_TUNNEL/200 7018293 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
2026-08-30T19:16:02.733764424Z 1788117362.733  18186 172.18.0.2 TCP_TUNNEL/200 7839306 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
2026-08-30T19:16:02.733776758Z 1788117362.733  22790 172.18.0.2 TCP_TUNNEL/200 11779000 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
2026-08-30T19:16:02.733819008Z 1788117362.733  18175 172.18.0.2 TCP_TUNNEL/200 15003334 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
2026-08-30T19:16:02.733824008Z 1788117362.733  18305 172.18.0.2 TCP_TUNNEL/200 116888 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.733844674Z 1788117362.733  18302 172.18.0.2 TCP_TUNNEL/200 104762 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.733869049Z 1788117362.733  18222 172.18.0.2 TCP_TUNNEL/200 6217363 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
2026-08-30T19:16:02.733891508Z 1788117362.733  18297 172.18.0.2 TCP_TUNNEL/200 38005 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.733933008Z 1788117362.733  18304 172.18.0.2 TCP_TUNNEL/200 44014 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.733948591Z 1788117362.733  18303 172.18.0.2 TCP_TUNNEL/200 40124 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.733966299Z 1788117362.733   7258 172.18.0.2 TCP_TUNNEL/200 75696 CONNECT plugins-artifacts.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.734001091Z 1788117362.733  23177 172.18.0.2 TCP_TUNNEL/200 1886675 CONNECT plugins-artifacts.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.734017758Z 1788117362.733   7255 172.18.0.2 TCP_TUNNEL/200 23572 CONNECT plugins-artifacts.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.734285549Z 1788117362.734   7258 172.18.0.2 TCP_TUNNEL/200 158916 CONNECT plugins-artifacts.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.734296258Z 1788117362.734  18305 172.18.0.2 TCP_TUNNEL/200 30144 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.734299674Z 1788117362.734  18304 172.18.0.2 TCP_TUNNEL/200 2161 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.734323591Z 1788117362.734  18306 172.18.0.2 TCP_TUNNEL/200 8117 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.734679424Z 1788117362.734  18312 172.18.0.2 TCP_TUNNEL/200 12054 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.734688299Z 1788117362.734  21870 172.18.0.2 TCP_TUNNEL/200 30012 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.734691341Z 1788117362.734  21870 172.18.0.2 TCP_TUNNEL/200 47889 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.734721758Z 1788117362.734  23268 172.18.0.2 TCP_TUNNEL/200 89965 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.734725174Z 1788117362.734  18312 172.18.0.2 TCP_TUNNEL/200 4148 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-08-30T19:16:02.734726883Z 1788117362.734  18217 172.18.0.2 TCP_TUNNEL/200 2216 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
2026-08-30T19:16:02.734728633Z 1788117362.734  18218 172.18.0.2 TCP_TUNNEL/200 2095 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
