2026-08-15T16:49:15.180357063Z 1786812555.180      0 172.18.0.2 NONE_NONE/000 0 - error:transaction-end-before-headers - HIER_NONE/- -
2026-08-15T16:49:15.766599397Z 1786812555.766    232 172.18.0.2 TCP_TUNNEL/200 68048 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:49:15.816358605Z 1786812555.816    281 172.18.0.2 TCP_TUNNEL/200 3987 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:49:15.826422564Z 1786812555.826    291 172.18.0.2 TCP_TUNNEL/200 4376 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:49:15.839877855Z 1786812555.839    399 172.18.0.2 TCP_TUNNEL/200 4414 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:49:15.847333814Z 1786812555.847    312 172.18.0.2 TCP_TUNNEL/200 6928 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:49:15.854987897Z 1786812555.854    320 172.18.0.2 TCP_TUNNEL/200 3907 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:49:15.870219647Z 1786812555.869    335 172.18.0.2 TCP_TUNNEL/200 4082 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:49:15.990818355Z 1786812555.990    219 172.18.0.2 TCP_TUNNEL/200 63372 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:49:16.194274105Z 1786812556.193    199 172.18.0.2 TCP_TUNNEL/200 61711 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:49:16.405592355Z 1786812556.405    200 172.18.0.2 TCP_TUNNEL/200 22215 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:51:42.722918134Z 1786812702.722 146829 172.18.0.2 TCP_TUNNEL/200 85519 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:51:42.723047134Z 1786812702.722 146875 172.18.0.2 TCP_TUNNEL/200 5423 CONNECT mcp-proxy.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:51:42.723058800Z 1786812702.722 146876 172.18.0.2 TCP_TUNNEL/200 59255 CONNECT mcp-proxy.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:51:42.723085134Z 1786812702.722 146876 172.18.0.2 TCP_TUNNEL/200 5422 CONNECT mcp-proxy.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:51:42.723095467Z 1786812702.722 146876 172.18.0.2 TCP_TUNNEL/200 29722 CONNECT mcp-proxy.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:51:42.723097675Z 1786812702.722 146876 172.18.0.2 TCP_TUNNEL/200 90478 CONNECT mcp-proxy.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:51:42.723184009Z 1786812702.722 146876 172.18.0.2 TCP_TUNNEL/200 5424 CONNECT mcp-proxy.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-08-15T16:51:42.723459384Z 1786812702.722 146253 172.18.0.2 TCP_TUNNEL/200 16614 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
