2026-09-11T19:19:20.067062000Z 1789154360.066      0 172.18.0.2 NONE_NONE/000 0 - error:transaction-end-before-headers - HIER_NONE/- -
2026-09-11T19:19:20.407601626Z 1789154360.407     77 172.18.0.2 TCP_TUNNEL/200 48882 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-11T19:19:20.463081834Z 1789154360.462     50 172.18.0.2 TCP_TUNNEL/200 45668 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-11T19:19:20.522531126Z 1789154360.522     53 172.18.0.2 TCP_TUNNEL/200 44437 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-11T19:19:20.574499167Z 1789154360.574     49 172.18.0.2 TCP_TUNNEL/200 17897 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-11T19:19:20.650595959Z 1789154360.650    420 172.18.0.2 TCP_TUNNEL/200 5511 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-11T19:19:20.653146834Z 1789154360.652    322 172.18.0.2 TCP_TUNNEL/200 5075 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-11T19:19:20.694563001Z 1789154360.694    364 172.18.0.2 TCP_TUNNEL/200 4997 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-11T19:19:20.694583667Z 1789154360.694    364 172.18.0.2 TCP_TUNNEL/200 8018 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-11T19:19:20.734192001Z 1789154360.734    404 172.18.0.2 TCP_TUNNEL/200 5786 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-11T19:19:21.079586709Z 1789154361.079    748 172.18.0.2 TCP_TUNNEL/200 5172 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-11T19:24:21.142067686Z 1789154661.141 300482 172.18.0.2 TCP_TUNNEL/200 75406 CONNECT mcp-proxy.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-11T19:24:21.142694769Z 1789154661.141 300483 172.18.0.2 TCP_TUNNEL/200 95758 CONNECT mcp-proxy.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-11T19:24:21.142735811Z 1789154661.141 300483 172.18.0.2 TCP_TUNNEL/200 32885 CONNECT mcp-proxy.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-11T19:28:21.523200134Z 1789154901.522 540809 172.18.0.2 TCP_TUNNEL/200 183092 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-11T19:35:01.570113533Z 1789155301.569    179 172.18.0.2 TCP_TUNNEL/200 3560 CONNECT services.gradle.org:443 - HIER_DIRECT/104.16.73.101 -
2026-09-11T19:35:01.868573408Z 1789155301.868    297 172.18.0.2 TCP_TUNNEL/200 8464 CONNECT github.com:443 - HIER_DIRECT/140.82.121.4 -
2026-09-11T19:35:19.072827958Z 1789155319.072   1454 172.18.0.2 TCP_TUNNEL/200 7168 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.72.101 -
2026-09-11T19:35:19.072974833Z 1789155319.072    632 172.18.0.2 TCP_TUNNEL/200 4377 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.72.101 -
2026-09-11T19:35:28.819021046Z 1789155328.818   9819 172.18.0.2 TCP_TUNNEL/200 5973 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
2026-09-11T19:35:28.819124296Z 1789155328.818  10006 172.18.0.2 TCP_TUNNEL/200 4294 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.72.101 -
2026-09-11T19:35:28.819143462Z 1789155328.819   7742 172.18.0.2 TCP_TUNNEL/200 4376 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.72.101 -
2026-09-11T19:35:28.819149296Z 1789155328.819   9019 172.18.0.2 TCP_TUNNEL/200 4363 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.72.101 -
2026-09-11T19:35:28.819262962Z 1789155328.819   8542 172.18.0.2 TCP_TUNNEL/200 4406 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
2026-09-11T19:35:28.819332296Z 1789155328.819   8641 172.18.0.2 TCP_TUNNEL/200 8256 CONNECT plugins.gradle.org:443 - HIER_DIRECT/104.16.72.101 -
2026-09-11T19:35:45.016294928Z 1789155345.015  16643 172.18.0.2 TCP_TUNNEL/200 15967760 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
2026-09-11T19:35:45.016401387Z 1789155345.015  16641 172.18.0.2 TCP_TUNNEL/200 5106665 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
2026-09-11T19:35:45.016409512Z 1789155345.015  16641 172.18.0.2 TCP_TUNNEL/200 8692362 CONNECT repo.maven.apache.org:443 - HIER_DIRECT/104.18.19.12 -
