2026-09-13T00:36:35.194179224Z 1789259795.192      0 172.18.0.2 NONE_NONE/000 0 - error:transaction-end-before-headers - HIER_NONE/- -
2026-09-13T00:36:35.645858391Z 1789259795.645     74 172.18.0.2 TCP_TUNNEL/200 48884 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-13T00:36:35.699102266Z 1789259795.699     48 172.18.0.2 TCP_TUNNEL/200 45670 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-13T00:36:35.751077349Z 1789259795.750     47 172.18.0.2 TCP_TUNNEL/200 44458 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-13T00:36:35.803921974Z 1789259795.803     49 172.18.0.2 TCP_TUNNEL/200 17898 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-13T00:36:35.912190891Z 1789259795.911    460 172.18.0.2 TCP_TUNNEL/200 5512 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-13T00:36:35.913017391Z 1789259795.911    340 172.18.0.2 TCP_TUNNEL/200 5601 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-13T00:36:35.913046891Z 1789259795.912    340 172.18.0.2 TCP_TUNNEL/200 4996 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-13T00:36:35.913050141Z 1789259795.912    340 172.18.0.2 TCP_TUNNEL/200 8016 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-13T00:36:35.913052849Z 1789259795.912    340 172.18.0.2 TCP_TUNNEL/200 5075 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-13T00:41:36.414266201Z 1789260096.413 299865 172.18.0.2 TCP_TUNNEL/200 8184 CONNECT api.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
2026-09-13T00:41:36.414783951Z 1789260096.414 300443 172.18.0.2 TCP_TUNNEL/200 75404 CONNECT mcp-proxy.anthropic.com:443 - HIER_DIRECT/160.79.104.10 -
